game_A,game_B,genre_sama,persen_laku_A,jumlah_pembeli_A,jumlah_pembeli_B,jumlah_beli_keduanya,persen_bundling
1942: Joint Strike,Nights Into Dreams…,"Arcade, Shooter",0.44,22,28,4,18.18
1942: Joint Strike,Heracles Chariot Racing,Arcade,0.44,22,116,4,18.18
1942: Joint Strike,Jelly Pops,Arcade,0.44,22,94,4,18.18
1942: Joint Strike,Ikari Iii: The Rescue,Shooter,0.44,22,58,4,18.18
1942: Joint Strike,Alpha Protocol,Shooter,0.44,22,57,4,18.18
1942: Joint Strike,R-Type Dimensions,"Arcade, Shooter",0.44,22,30,4,18.18
1942: Joint Strike,Alien Breed: Impact,"Action, Arcade, Shooter",0.44,22,24,4,18.18
1942: Joint Strike,Breakquest: Extra Evolution,Arcade,0.44,22,91,4,18.18
1942: Joint Strike,Crimsonland,"Arcade, Shooter",0.44,22,58,4,18.18
1942: Joint Strike,Fear 2: Project Origin,Shooter,0.44,22,28,4,18.18
1945 I & Ii - The Arcade Games,Dynogems + Tehra Dark Warrior,Unknown,0.28,14,58,4,28.57
1945 I & Ii - The Arcade Games,Robin Hood + Monochrome Racing,Unknown,0.28,14,68,4,28.57
1945 I & Ii - The Arcade Games,I Kill Zombies,Unknown,0.28,14,56,3,21.43
1945 I & Ii - The Arcade Games,"Monstres & Cie L,Île De L,Épouvante",Unknown,0.28,14,64,3,21.43
1945 I & Ii - The Arcade Games,Cubixx / Vibes Bundle Pack,Unknown,0.28,14,54,3,21.43
1945 I & Ii - The Arcade Games,Army Of Two : Le 40Ème Jour,Unknown,0.28,14,26,3,21.43
1945 I & Ii - The Arcade Games,Assassin’S Creed,Unknown,0.28,14,14,3,21.43
1945 I & Ii - The Arcade Games,Transformers : La Guerre Pour Cybertron,Unknown,0.28,14,17,3,21.43
1945 I & Ii - The Arcade Games,Siren Blood Curse Chapitre Deux - Sans Issue,Unknown,0.28,14,20,3,21.43
1945 I & Ii - The Arcade Games,Tales Of Monkey Island Ch 4: The Trial & Execution Of Guybrush,Unknown,0.28,14,13,3,21.43
1945 I & Ii - The Arcade Games,Lara Croft And The Guardian Of Light (Version Complète),Unknown,0.28,14,24,3,21.43
2013: Infected Wars,The Count Lucanor,Horror,0.3,15,28,7,46.67
2013: Infected Wars,Lone Survivor: The Director'S Cut,Horror,0.3,15,48,7,46.67
2013: Infected Wars,Claire: Extended Cut,Horror,0.3,15,51,7,46.67
2013: Infected Wars,Yomawari: Night Alone/Htolniq: The Firefly Diary,Horror,0.3,15,24,7,46.67
2013: Infected Wars,Legacy Of Kain: Soul Reaver,"Action, Horror",0.3,15,93,6,40.0
2013: Infected Wars,Yomawari: Midnight Shadows,Horror,0.3,15,41,6,40.0
2013: Infected Wars,Resident Evil Revelations 2,"Action, Horror",0.3,15,20,6,40.0
2013: Infected Wars,Castlevania: Symphony Of The Night,Horror,0.3,15,72,4,26.67
2013: Infected Wars,Yomawari: Night Alone,Horror,0.3,15,19,4,26.67
2013: Infected Wars,Brainpipe,Action,0.3,15,161,4,26.67
2013: Infected Wars,Corpse Party: Book Of Shadows,Horror,0.3,15,63,3,20.0
2013: Infected Wars,Lego Harry Potter : Années 5-7,Action,0.3,15,24,3,20.0
2013: Infected Wars,Lego Marvel'S Avengers,Action,0.3,15,50,3,20.0
2013: Infected Wars,Resident Evil 3: Nemesis,"Action, Horror",0.3,15,120,3,20.0
2013: Infected Wars,Ethan: Meteor Hunter,Action,0.3,15,42,3,20.0
2048 Boys,Thank Goodness You'Re Here!,Puzzle,0.16,8,49,3,37.5
20Q,Mediatonic Combo!,Unknown,1.08,54,51,12,22.22
20Q,Bugriders: The Race Of Kings,Unknown,1.08,54,54,12,22.22
20Q,All-In-One Sports Collection,Unknown,1.08,54,44,10,18.52
20Q,Beach Buzzin’ Chopper,Unknown,1.08,54,50,10,18.52
20Q,Ys: The Oath In Felghana [Psp],Unknown,1.08,54,37,9,16.67
20Q,L'Entraîneur 2010 – Express,Unknown,1.08,54,57,9,16.67
20Q,Williams Pinball Classics [Psp],Unknown,1.08,54,38,9,16.67
20Q,Atlantis And Hercules,Unknown,1.08,54,33,9,16.67
20Q,Pack Vert [Psp],Unknown,1.08,54,44,8,14.81
20Q,Cubixx / Vibes Bundle Pack,Unknown,1.08,54,54,8,14.81
20Q,Epyx'S Impossible Mission,Unknown,1.08,54,56,8,14.81
20Q,G-Police,Unknown,1.08,54,54,7,12.96
20Q,I Kill Zombies,Unknown,1.08,54,56,7,12.96
20Q,Buzz!: Master Quiz [Psp],Unknown,1.08,54,57,7,12.96
20Q,Patapon 3 Déblocage En Ligne [Psp],Unknown,1.08,54,47,7,12.96
2Md: Vr Football Head 2 Head Edition,Creed: Rise To Glory,"Fitness, Sports",0.4,20,21,3,15.0
2Md: Vr Football Unleashed All☆Star,Bambas!,"Indie, Simulator",0.28,14,30,3,21.43
2Md: Vr Football Unleashed All☆Star,Detective - Scene Crime,"Indie, Simulator",0.28,14,25,3,21.43
2Xtreme,Legend Bowl,Sports,0.38,19,30,4,21.05
2Xtreme,Monster Truck Championship,Sports,0.38,19,21,3,15.79
2Xtreme,Ea Sports Fc 24 Ps5,Sports,0.38,19,38,3,15.79
2Xtreme,Madden Nfl 24,Sports,0.38,19,16,3,15.79
2Xtreme,Crazy Athletics - Summer Sports & Games,Sports,0.38,19,26,3,15.79
2Xtreme,Harry Potter: Champions De Quidditch Ps4 & Ps5,Sports,0.38,19,13,3,15.79
3 On 3 Soccer,Exocars,Sport,0.36,18,15,3,16.67
"3,2,1...Supercrash!",Atv Racers,Racing,1.06,53,68,17,32.08
"3,2,1...Supercrash!",Motor Toon Grand Prix 2,Racing,1.06,53,132,16,30.19
"3,2,1...Supercrash!",Trailblazer,Racing,1.06,53,107,15,28.3
"3,2,1...Supercrash!",4X4 Jam,Racing,1.06,53,74,15,28.3
"3,2,1...Supercrash!",Jet Rider 2,Racing,1.06,53,70,14,26.42
"3,2,1...Supercrash!",Jet Rider,Racing,1.06,53,67,14,26.42
"3,2,1...Supercrash!",Le Package Big Head,"Action, Racing",1.06,53,126,14,26.42
"3,2,1...Supercrash!",Cars Race O Rama,Racing,1.06,53,48,14,26.42
"3,2,1...Supercrash!",Motorhead,Racing,1.06,53,59,14,26.42
"3,2,1...Supercrash!",Cool Boarders 2,Racing,1.06,53,124,13,24.53
"3,2,1...Supercrash!",Motorstorm Arctic Edge [Psp],"Action, Racing",1.06,53,48,13,24.53
"3,2,1...Supercrash!",Ctr: Crash Team Racing,"Action, Racing",1.06,53,57,13,24.53
"3,2,1...Supercrash!",Monochrome Racing,Racing,1.06,53,114,12,22.64
"3,2,1...Supercrash!",Aero Racer,Racing,1.06,53,52,12,22.64
"3,2,1...Supercrash!",Need For Speed Shift,Racing,1.06,53,65,12,22.64
3D Don'T Die Mr. Robot Ps4 & Ps5,Airborne Justice Ps4 & Ps5,"Action, Casual",0.48,24,24,5,20.83
3D Don'T Die Mr. Robot Ps4 & Ps5,Hungry Monster Food Rain,Casual,0.48,24,17,4,16.67
3D Don'T Die Mr. Robot Ps4 & Ps5,Job Simulator Ps4 & Ps5,"Action, Casual",0.48,24,34,3,12.5
3D Don'T Die Mr. Robot Ps4 & Ps5,Puzzle Piecer: The Pattern,Casual,0.48,24,20,3,12.5
3D Don'T Die Mr. Robot Ps4 & Ps5,Goat Out Of Hell,Casual,0.48,24,26,3,12.5
3D Don'T Die Mr. Robot Ps4 & Ps5,Catlateral Damage: Remeowstered,Casual,0.48,24,33,3,12.5
3D Don'T Die Mr. Robot Ps4 & Ps5,Backfirewall_,Casual,0.48,24,17,3,12.5
3D Don'T Die Mr. Robot Ps4 & Ps5,Nico Saves The State Ps4 & Ps5,Casual,0.48,24,27,3,12.5
3D Don'T Die Mr. Robot Ps4 & Ps5,Ellphaser,Casual,0.48,24,17,3,12.5
3D Minigolf,Arcade Archives Track & Field,Sports,0.36,18,16,3,16.67
3D Minigolf,Euro Fishing,Sports,0.36,18,13,3,16.67
3D Minigolf,Farming Simulator 17,Family,0.36,18,22,3,16.67
3D Twist & Match,Alien Havoc,Puzzle,1.44,72,108,13,18.06
3D Twist & Match,101-In-1 Megamix [Psp],Puzzle,1.44,72,122,13,18.06
3D Twist & Match,Panda Craze,Puzzle,1.44,72,52,13,18.06
3D Twist & Match,Tomb Raider Chronicles,Puzzle,1.44,72,138,13,18.06
3D Twist & Match,Angry Birds,Puzzle,1.44,72,55,12,16.67
3D Twist & Match,Go! Puzzle [Psp],Puzzle,1.44,72,35,12,16.67
3D Twist & Match,Aqua Panic! [Psp],Puzzle,1.44,72,37,12,16.67
3D Twist & Match,Cubixx,Puzzle,1.44,72,47,12,16.67
3D Twist & Match,Enchanted Cavern,Puzzle,1.44,72,44,12,16.67
3D Twist & Match,Piyotama,Puzzle,1.44,72,57,12,16.67
3D Twist & Match,Numba,Puzzle,1.44,72,129,11,15.28
3D Twist & Match,Wizorb,Puzzle,1.44,72,166,11,15.28
3D Twist & Match,Farm Frenzy 2,Puzzle,1.44,72,137,11,15.28
3D Twist & Match,Fish Tank,Puzzle,1.44,72,64,11,15.28
3D Twist & Match,Trailblazer,Puzzle,1.44,72,107,11,15.28
3°C: Sand Puzzle,Dreamland Solitaire,Puzzle,0.3,15,20,3,20.0
3°C: Sand Puzzle,Beauty Clicker,Puzzle,0.3,15,23,3,20.0
4 En Ligne,Greed: The Mad Scientist,"Casual, Family",0.38,19,19,3,15.79
40 Sports Games In 1,Blood Bowl 3,Sports,0.48,24,26,3,12.5
40 Winks,Fighting Force 2,"Adventure, Beat 'Em Up, Hack And Slash",4.34,217,207,76,35.02
40 Winks,Judge Dredd,"Beat 'Em Up, Hack And Slash",4.34,217,167,74,34.1
40 Winks,Gensan,"Beat 'Em Up, Hack And Slash, Platform",4.34,217,148,71,32.72
40 Winks,All-Star Boxing,"Beat 'Em Up, Hack And Slash",4.34,217,120,60,27.65
40 Winks,Atari Anniversary Edition,Platform,4.34,217,241,54,24.88
40 Winks,Feisty Feet,Platform,4.34,217,138,39,17.97
40 Winks,Labyrinth,Adventure,4.34,217,208,38,17.51
40 Winks,The Terminator,Platform,4.34,217,122,34,15.67
40 Winks,Jellycar 2,Platform,4.34,217,110,33,15.21
40 Winks,Sid Meier'S Pirates!,Adventure,4.34,217,160,33,15.21
40 Winks,Pandemonium 2,Platform,4.34,217,120,32,14.75
40 Winks,James Pond 2 : Codename Robocod,Platform,4.34,217,72,29,13.36
40 Winks,Tiny Hawk,Platform,4.34,217,76,27,12.44
40 Winks,Ninja Gaiden Sigma Plus,"Adventure, Beat 'Em Up, Hack And Slash",4.34,217,54,26,11.98
40 Winks,Movement,Platform,4.34,217,89,24,11.06
4X4 Jam,Twisted Metal,Racing,1.48,74,108,19,25.68
4X4 Jam,Hardcore 4X4,Racing,1.48,74,80,18,24.32
4X4 Jam,Ctr: Crash Team Racing,Racing,1.48,74,57,18,24.32
4X4 Jam,Jet Rider 2,Racing,1.48,74,70,17,22.97
4X4 Jam,Motor Toon Grand Prix 2,Racing,1.48,74,132,17,22.97
4X4 Jam,Le Package Big Head,Racing,1.48,74,126,17,22.97
4X4 Jam,Atv Racers,Racing,1.48,74,68,17,22.97
4X4 Jam,Motorhead,Racing,1.48,74,59,17,22.97
4X4 Jam,Motorstorm Arctic Edge [Psp],Racing,1.48,74,48,16,21.62
4X4 Jam,Touch Racing Nitro,Racing,1.48,74,66,16,21.62
4X4 Jam,Stellar Attack,Racing,1.48,74,113,15,20.27
4X4 Jam,Wipeout Pulse [Psp],Racing,1.48,74,48,15,20.27
4X4 Jam,Jelly Pops,Racing,1.48,74,94,15,20.27
4X4 Jam,101-In-1 Megamix [Psp],Racing,1.48,74,122,15,20.27
4X4 Jam,Ice Road Truckers,Racing,1.48,74,66,15,20.27
5 En 1 Solitaire,Best Of Solitaire,Party,1.72,86,102,39,45.35
5 En 1 Solitaire,Singes En Délire [Psp],Party,1.72,86,72,34,39.53
5 En 1 Solitaire,Elementalmonster Td Portable [Psp],Party,1.72,86,112,31,36.05
5 En 1 Solitaire,Démo The Eye Of Judgment Legends,Party,1.72,86,67,26,30.23
5 En 1 Solitaire,Everyone Sing,Party,1.72,86,67,7,8.14
5 En 1 Solitaire,The Cube,Party,1.72,86,51,7,8.14
5 En 1 Solitaire,Wicked Monsters Blast! Hd,Party,1.72,86,44,7,8.14
5 En 1 Solitaire,The Jackbox Party Pack 2,Party,1.72,86,41,6,6.98
5 En 1 Solitaire,Nidhogg,Party,1.72,86,47,6,6.98
5 En 1 Solitaire,Beat Sketcher,Party,1.72,86,85,5,5.81
5 En 1 Solitaire,Get Up And Dance,Party,1.72,86,57,5,5.81
5 En 1 Solitaire,High Velocity Bowling,Party,1.72,86,67,5,5.81
5 En 1 Solitaire,Quiplash,Party,1.72,86,31,5,5.81
5 En 1 Solitaire,High Velocity Bowling Complete,Party,1.72,86,54,5,5.81
5 En 1 Solitaire,Blue Toad Murder Files Episode 1,Party,1.72,86,56,5,5.81
5 Star Wrestling,Wwe Smackdown Vs. Raw 2010,"Fighting, Sports",0.74,37,39,9,24.32
5 Star Wrestling,Inferno Pool,Sports,0.74,37,52,7,18.92
5 Star Wrestling,Wwe All Stars,"Fighting, Sports",0.74,37,149,7,18.92
5 Star Wrestling,Injustice: Les Dieux Sont Parmi Nous,Fighting,0.74,37,25,7,18.92
5 Star Wrestling,Sports Champions,Sports,0.74,37,60,6,16.22
5 Star Wrestling,Backbreaker Vengeance,Sports,0.74,37,43,6,16.22
5 Star Wrestling,M.O.Z.O.X. Space Salvager,Fighting,0.74,37,103,6,16.22
5 Star Wrestling,Tabletop Cricket,Sports,0.74,37,22,6,16.22
5 Star Wrestling,Bowling 3D,Sports,0.74,37,70,6,16.22
5 Star Wrestling,Capcom Vs Snk 2,Fighting,0.74,37,19,6,16.22
5 Star Wrestling,Wwe '13,Fighting,0.74,37,57,6,16.22
5 Star Wrestling,10 Pin: Champions Alley,Sports,0.74,37,21,6,16.22
5 Star Wrestling,Wwe Smackdown Vs. Raw 2009,Fighting,0.74,37,34,6,16.22
5 Star Wrestling,Pro Foosball,Sports,0.74,37,31,6,16.22
5 Star Wrestling,Skullgirls Encore,Fighting,0.74,37,16,5,13.51
5 Star Wrestling: Regenesis,Headmaster,Sports,0.3,15,26,3,20.0
63 Days,Knightica,Strategy,0.66,33,42,3,9.09
63 Days,Break The Loop,Strategy,0.66,33,34,3,9.09
63 Days,Brain Show,Indie,0.66,33,24,3,9.09
63 Days,Vagrus - The Riven Realms,"Adventure, Indie, Strategy",0.66,33,33,3,9.09
63 Days,Quilts And Cats Of Calico,"Indie, Strategy, Tactical",0.66,33,35,3,9.09
63 Days,Cat Quest Iii,"Adventure, Indie",0.66,33,44,3,9.09
63 Days,Aerial_Knight'S We Never Yield,"Adventure, Indie",0.66,33,21,3,9.09
63 Days,Jurassic World Evolution 2,Strategy,0.66,33,27,3,9.09
63 Days,Classic Checkers,Strategy,0.66,33,16,3,9.09
63 Days,Uboat,"Indie, Strategy, Tactical",0.66,33,28,3,9.09
63 Days,Ai Limit,"Adventure, Indie",0.66,33,23,3,9.09
63 Days,To The Moon,Adventure,0.66,33,24,3,9.09
63 Days,Stickman: Far East Battle,Adventure,0.66,33,21,3,9.09
63 Days,Nicktoons & The Dice Of Destiny,Adventure,0.66,33,25,3,9.09
63 Days,Hole Digging Master,Adventure,0.66,33,31,3,9.09
7'Scarlet,Va-11 Hall-A: Cyberpunk Bartender Action,Adventure,0.2,10,45,3,30.0
7'Scarlet,Medievil: Resurrection [Psp],Adventure,0.2,10,30,3,30.0
